"emp_no","first_name","last_name","title","from_date","to_date"
10001,"Georgi","Facello","Senior Engineer","1986-06-26","9999-01-01"
10004,"Chirstian","Koblick","Engineer","1986-12-01","1995-12-01"
10004,"Chirstian","Koblick","Senior Engineer","1995-12-01","9999-01-01"
10005,"Kyoichi","Maliniak","Senior Staff","1996-09-12","9999-01-01"
10005,"Kyoichi","Maliniak","Staff","1989-09-12","1996-09-12"
10006,"Anneke","Preusig","Senior Engineer","1990-08-05","9999-01-01"
10009,"Sumant","Peac","Assistant Engineer","1985-02-18","1990-02-18"
10009,"Sumant","Peac","Engineer","1990-02-18","1995-02-18"
10009,"Sumant","Peac","Senior Engineer","1995-02-18","9999-01-01"
10011,"Mary","Sluis","Staff","1990-01-22","1996-11-09"
10018,"Kazuhide","Peha","Engineer","1987-04-03","1995-04-03"
10018,"Kazuhide","Peha","Senior Engineer","1995-04-03","9999-01-01"
10019,"Lillian","Haddadi","Staff","1999-04-30","9999-01-01"
10020,"Mayuko","Warwick","Engineer","1997-12-30","9999-01-01"
10022,"Shahaf","Famili","Engineer","1999-09-03","9999-01-01"
10023,"Bojan","Montemayor","Engineer","1999-09-27","9999-01-01"
10026,"Yongqiao","Berztiss","Engineer","1995-03-20","2001-03-19"
10026,"Yongqiao","Berztiss","Senior Engineer","2001-03-19","9999-01-01"
10035,"Alain","Chappelet","Engineer","1988-09-05","1996-09-05"
10035,"Alain","Chappelet","Senior Engineer","1996-09-05","9999-01-01"
10047,"Zvonko","Nyanchama","Engineer","1989-03-31","1998-03-31"
10047,"Zvonko","Nyanchama","Senior Engineer","1998-03-31","9999-01-01"
10051,"Hidefumi","Caine","Engineer","1992-10-15","1998-10-15"
10051,"Hidefumi","Caine","Senior Engineer","1998-10-15","9999-01-01"
10053,"Sanjiv","Zschoche","Senior Staff","1994-11-13","9999-01-01"
10057,"Ebbe","Callaway","Engineer","1992-01-15","2000-01-15"
10057,"Ebbe","Callaway","Senior Engineer","2000-01-15","9999-01-01"
10058,"Berhard","McFarlin","Senior Staff","1988-04-25","9999-01-01"
10059,"Alejandro","McAlpine","Senior Staff","1991-06-26","9999-01-01"
10063,"Gino","Leonhardt","Senior Engineer","1989-04-08","9999-01-01"
10066,"Kwee","Schusler","Assistant Engineer","1986-02-26","1992-02-26"
10066,"Kwee","Schusler","Engineer","1992-02-26","1998-02-25"
10066,"Kwee","Schusler","Senior Engineer","1998-02-25","9999-01-01"
10067,"Claudi","Stavenow","Engineer","1987-03-04","1996-03-03"
10067,"Claudi","Stavenow","Senior Engineer","1996-03-03","9999-01-01"
10070,"Reuven","Garigliano","Technique Leader","1985-10-14","9999-01-01"
10072,"Hironoby","Sidou","Engineer","1989-05-21","1995-05-21"
10072,"Hironoby","Sidou","Senior Engineer","1995-05-21","9999-01-01"
10073,"Shir","McClurg","Engineer","1998-02-02","1998-02-22"
10074,"Mokhtar","Bernatsky","Technique Leader","1990-08-13","9999-01-01"
10076,"Erez","Ritzmann","Senior Engineer","1996-07-15","9999-01-01"
10088,"Jungsoon","Syrzycki","Senior Staff","1993-09-02","9999-01-01"
10088,"Jungsoon","Syrzycki","Staff","1988-09-02","1993-09-02"
10091,"Amabile","Gomatam","Engineer","1992-11-18","2001-11-18"
10091,"Amabile","Gomatam","Senior Engineer","2001-11-18","9999-01-01"
10096,"Jayson","Mandell","Engineer","1999-01-23","9999-01-01"
10097,"Remzi","Waschkowski","Senior Staff","1996-09-14","9999-01-01"
10097,"Remzi","Waschkowski","Staff","1990-09-15","1996-09-14"
10100,"Hironobu","Haraldson","Senior Staff","1994-09-21","9999-01-01"
10100,"Hironobu","Haraldson","Staff","1987-09-21","1994-09-21"
10101,"Perla","Heyers","Staff","1998-10-14","2000-09-23"
10103,"Akemi","Birch","Engineer","1998-01-12","9999-01-01"
10106,"Eben","Aingworth","Engineer","1991-10-27","1997-10-26"
10106,"Eben","Aingworth","Senior Engineer","1997-10-26","9999-01-01"
10108,"Lunjin","Giveon","Staff","1999-03-20","2001-10-20"
10116,"Dayanand","Czap","Senior Engineer","1994-02-27","1998-11-01"
10126,"Kayoko","Valtorta","Senior Staff","1991-09-08","9999-01-01"
10126,"Kayoko","Valtorta","Staff","1985-09-08","1991-09-08"
10127,"Subir","Baja","Senior Engineer","1991-05-17","9999-01-01"
10129,"Armond","Peir","Technique Leader","1996-01-16","9999-01-01"
10130,"Nishit","Casperson","Senior Engineer","1988-06-21","9999-01-01"
10131,"Magdalena","Eldridge","Engineer","1999-09-17","1999-12-06"
10134,"Diederik","Siprelle","Engineer","1987-12-12","1994-12-12"
10134,"Diederik","Siprelle","Senior Engineer","1994-12-12","9999-01-01"
10138,"Perry","Shimshoni","Engineer","1992-03-03","2001-03-03"
10138,"Perry","Shimshoni","Senior Engineer","2001-03-03","9999-01-01"
10149,"Xiadong","Perry","Staff","1994-01-28","1996-08-27"
10150,"Zhenbing","Perng","Engineer","1986-11-16","1995-11-16"
10150,"Zhenbing","Perng","Senior Engineer","1995-11-16","9999-01-01"
10152,"Jaques","Munro","Engineer","1986-01-27","1987-08-03"
10153,"Heekeun","Majewski","Assistant Engineer","2000-01-08","9999-01-01"
10157,"Nigel","Aloisi","Senior Engineer","1997-12-10","9999-01-01"
10159,"Serif","Buescher","Senior Engineer","1996-06-12","9999-01-01"
10160,"Debatosh","Khasidashvili","Senior Staff","2000-12-06","9999-01-01"
10160,"Debatosh","Khasidashvili","Staff","1993-12-06","2000-12-06"
10161,"Hairong","Mellouli","Engineer","1991-06-09","1994-01-05"
10163,"Karsten","Szmurlo","Senior Staff","1992-02-02","9999-01-01"
10166,"Samphel","Siegrist","Engineer","1996-09-02","9999-01-01"
10177,"Pragnesh","Iisaka","Staff","1993-02-06","1994-03-17"
10183,"Mechthild","Bonifati","Staff","1996-08-11","9999-01-01"
10186,"Shigehito","Kropatsch","Staff","1996-12-25","1997-08-16"
10189,"Khalid","Erva","Engineer","1992-09-13","1993-06-29"
10194,"Josyula","Hofmeyr","Senior Staff","2002-02-14","9999-01-01"
10194,"Josyula","Hofmeyr","Staff","1997-02-14","2002-02-14"
10196,"Marc","Hellwagner","Staff","1999-01-31","9999-01-01"
10198,"Pranav","Furedi","Engineer","1985-08-31","1993-08-31"
10198,"Pranav","Furedi","Senior Engineer","1993-08-31","9999-01-01"
10203,"Steen","Escriba","Senior Staff","1995-04-06","9999-01-01"
10203,"Steen","Escriba","Staff","1989-04-06","1995-04-06"
10205,"Mabhin","Leijenhorst","Senior Engineer","1993-08-23","9999-01-01"
10207,"Girolamo","Anandan","Engineer","1992-10-11","1997-10-11"
10207,"Girolamo","Anandan","Senior Engineer","1997-10-11","9999-01-01"
10215,"Xiaobin","Duclos","Senior Staff","1991-11-23","9999-01-01"
10217,"Yongmin","Roison","Technique Leader","1986-05-12","1993-08-05"
10219,"Genta","Kolvik","Senior Staff","1993-03-31","9999-01-01"
10224,"Leon","Trogemann","Engineer","1988-01-09","1996-01-09"
10224,"Leon","Trogemann","Senior Engineer","1996-01-09","9999-01-01"
10228,"Karoline","Cesareni","Senior Staff","1998-12-22","9999-01-01"
10228,"Karoline","Cesareni","Staff","1992-12-22","1998-12-22"
10229,"Ulises","Takanami","Engineer","1996-02-20","2000-06-30"
10230,"Clyde","Vernadat","Senior Staff","2002-06-16","9999-01-01"
10230,"Clyde","Vernadat","Staff","1996-06-16","2002-06-16"
10233,"Lein","Vendrig","Senior Staff","2000-04-28","9999-01-01"
10233,"Lein","Vendrig","Staff","1994-04-29","2000-04-28"
10237,"Yannis","Mandell","Senior Staff","1997-08-11","2000-02-21"
10237,"Yannis","Mandell","Staff","1989-08-11","1997-08-11"
10239,"Nikolaos","Llado","Staff","1996-05-04","9999-01-01"
10240,"Remko","Maccarone","Engineer","1998-10-06","9999-01-01"
10248,"Frederique","Tempesti","Senior Staff","1997-08-12","9999-01-01"
10248,"Frederique","Tempesti","Staff","1991-08-13","1997-08-12"
10249,"Marie","Boreale","Engineer","1991-12-08","2000-12-07"
10249,"Marie","Boreale","Senior Engineer","2000-12-07","9999-01-01"
10258,"Basil","Ishibashi","Assistant Engineer","1985-05-17","1991-05-17"
10258,"Basil","Ishibashi","Engineer","1991-05-17","1997-05-16"
10258,"Basil","Ishibashi","Senior Engineer","1997-05-16","9999-01-01"
10262,"Mahendra","Maraist","Staff","1996-01-22","9999-01-01"
10272,"Yishai","Cannane","Staff","1997-10-23","9999-01-01"
10278,"Lubomir","Nitsch","Engineer","1993-07-02","1997-02-14"
10281,"Moty","Kusakari","Engineer","1994-12-03","2000-12-02"
10281,"Moty","Kusakari","Senior Engineer","2000-12-02","9999-01-01"
10282,"Hercules","Benzmuller","Assistant Engineer","1996-05-02","2001-05-02"
10282,"Hercules","Benzmuller","Engineer","2001-05-02","9999-01-01"
10283,"Kauko","Birjandi","Engineer","1988-05-25","1995-05-26"
10283,"Kauko","Birjandi","Senior Engineer","1995-05-26","9999-01-01"
10284,"Masali","Murrill","Engineer","1999-07-06","9999-01-01"
10286,"Saddek","Gopalakrishnan","Staff","1994-12-24","1999-01-24"
10294,"Rutger","Miara","Senior Engineer","1999-01-30","1999-05-04"
10295,"Kristine","Velardi","Senior Staff","2000-06-18","9999-01-01"
10295,"Kristine","Velardi","Staff","1995-06-19","2000-06-18"
10298,"Dietrich","DuCasse","Staff","1999-04-27","9999-01-01"
10302,"Faiza","Baer","Senior Staff","1994-07-22","1999-11-09"
10302,"Faiza","Baer","Staff","1986-07-22","1994-07-22"
10305,"Hirochika","Piancastelli","Engineer","1988-10-31","1992-06-02"
10306,"Heng","Kilgour","Staff","1993-09-06","9999-01-01"
10307,"Nikolaos","Leaver","Engineer","1999-10-16","9999-01-01"
10321,"Guenter","Ravishankar","Staff","1995-07-24","1999-08-14"
10322,"Isamu","Dahlbom","Engineer","1990-01-29","1997-01-29"
10322,"Isamu","Dahlbom","Senior Engineer","1997-01-29","9999-01-01"
10325,"Arunachalam","Badr","Senior Staff","1990-09-20","9999-01-01"
10326,"Masali","Czap","Staff","1998-09-02","9999-01-01"
10327,"Roded","Facello","Engineer","1987-09-18","1993-05-22"
10328,"Serenella","Kawashima","Engineer","1998-07-17","9999-01-01"
10333,"Snehasis","Dymetman","Engineer","1993-01-16","1998-01-16"
10333,"Snehasis","Dymetman","Senior Engineer","1998-01-16","9999-01-01"
10340,"Djelloul","Laventhal","Senior Staff","1993-03-30","9999-01-01"
10340,"Djelloul","Laventhal","Staff","1988-03-30","1993-03-30"
10343,"Dinah","Syrzycki","Senior Engineer","1997-10-03","9999-01-01"
10347,"Pradeep","Kaminger","Staff","1998-02-20","9999-01-01"
10349,"Oksana","Brodie","Senior Staff","1997-09-27","9999-01-01"
10349,"Oksana","Brodie","Staff","1991-09-28","1997-09-27"
10350,"Kristen","Kavvadias","Assistant Engineer","1991-05-11","1997-05-10"
10350,"Kristen","Kavvadias","Engineer","1997-05-10","1998-01-16"
10353,"Phule","Hammerschmidt","Senior Staff","1989-08-24","9999-01-01"
10355,"Satyanarayana","Cochrane","Staff","1996-01-26","9999-01-01"
10356,"Vasilis","Standera","Senior Staff","1995-06-26","9999-01-01"
10358,"Qunsheng","Tagansky","Technique Leader","1991-02-19","9999-01-01"
10363,"Toshiki","Muniz","Assistant Engineer","1985-09-11","1993-02-12"
10364,"Nakhoon","Dengi","Senior Engineer","1985-11-14","9999-01-01"
10367,"Hyuckchul","Gini","Senior Staff","2000-06-23","9999-01-01"
10367,"Hyuckchul","Gini","Staff","1991-06-24","2000-06-23"
10372,"Anneli","Frijda","Technique Leader","1985-07-30","9999-01-01"
10374,"Willard","Rosin","Staff","1993-12-08","1996-03-29"
10377,"Marl","Grospietsch","Senior Engineer","1996-08-24","9999-01-01"
10382,"Shirish","Dredge","Engineer","1998-07-01","2000-10-27"
10387,"Parto","Wrigley","Senior Staff","1999-01-07","9999-01-01"
10387,"Parto","Wrigley","Staff","1994-01-07","1999-01-07"
10388,"Hironoby","Kaiser","Staff","1999-05-28","9999-01-01"
10389,"Make","Peir","Technique Leader","1999-05-13","9999-01-01"
10395,"Takahiro","Deverell","Engineer","1998-08-10","2001-08-13"
10396,"Sibyl","Rahier","Senior Engineer","1986-01-11","9999-01-01"
10397,"Irena","Reutenauer","Technique Leader","1993-05-21","9999-01-01"
10402,"Volkmar","Ebeling","Technique Leader","1987-01-02","9999-01-01"
10404,"Prodip","Rosti","Engineer","1988-08-28","1996-08-28"
10404,"Prodip","Rosti","Senior Engineer","1996-08-28","9999-01-01"
10407,"Ulf","Siepmann","Senior Staff","1999-10-30","9999-01-01"
10413,"Danel","Impagliazzo","Senior Staff","1997-12-26","9999-01-01"
10413,"Danel","Impagliazzo","Staff","1991-12-27","1997-12-26"
10414,"Yinlin","Alpin","Senior Engineer","1990-05-30","1994-12-02"
10418,"Candida","Porotnikoff","Staff","1996-10-04","9999-01-01"
10422,"Greger","Rubsam","Engineer","1995-01-03","9999-01-01"
10426,"Arunas","Luce","Technique Leader","1985-07-06","9999-01-01"
10429,"Martien","Improta","Senior Engineer","1988-09-23","9999-01-01"
10432,"Hisao","Tiemann","Senior Staff","1996-08-12","9999-01-01"
10432,"Hisao","Tiemann","Staff","1990-08-13","1996-08-12"
10433,"Reuven","Dengi","Assistant Engineer","1992-11-26","1999-11-27"
10433,"Reuven","Dengi","Engineer","1999-11-27","9999-01-01"
10442,"Volkmar","Unno","Senior Staff","1999-02-12","2001-03-13"
10442,"Volkmar","Unno","Staff","1992-02-12","1999-02-12"
10443,"Shichao","Litvinov","Senior Engineer","1989-08-01","2002-07-06"
10451,"Bodh","Ranta","Assistant Engineer","1988-03-12","1993-03-12"
10451,"Bodh","Ranta","Engineer","1993-03-12","1998-03-12"
10451,"Bodh","Ranta","Senior Engineer","1998-03-12","9999-01-01"
10453,"Tsvetan","Matzel","Senior Staff","1993-04-02","9999-01-01"
10453,"Tsvetan","Matzel","Staff","1985-04-02","1993-04-02"
10463,"Ung","Zaiane","Staff","1994-02-17","9999-01-01"
10466,"Jiakeng","Himler","Staff","1997-08-22","2000-08-15"
10477,"Guoxiang","Trogemann","Engineer","1997-05-26","2002-05-26"
10477,"Guoxiang","Trogemann","Senior Engineer","2002-05-26","9999-01-01"
